,queries,entities,types
0,hospital drug price transparency,n.a.,uncategorized
1,massachusetts health care price transparency,n.a.,uncategorized
2,hospital costs without insurance,n.a.,uncategorized
3,hospital cost stay,n.a.,uncategorized
4,hospital fees zambia,n.a.,uncategorized
5,hospital charges delivery,n.a.,uncategorized
6,hospital price gouging uninsured,n.a.,uncategorized
7,price transparency digital health,n.a.,uncategorized
8,price transparency for health plans,n.a.,uncategorized
9,hospital bed price in kerala,n.a.,uncategorized
10,hospital bed and price,n.a.,uncategorized
11,price transparency in healthcare definition,n.a.,uncategorized
12,hospital group price list,n.a.,uncategorized
13,rand hospital price transparency study,n.a.,uncategorized
14,hospital beds with price,n.a.,uncategorized
15,hospital bed price in nigeria,n.a.,uncategorized
16,aca hospital price transparency,n.a.,uncategorized
17,hospital price transparency rule cms,n.a.,uncategorized
18,hospital prices,n.a.,uncategorized
19,minnesota hospital price transparency,n.a.,uncategorized
20,hospital charges for covid 19,n.a.,uncategorized
21,hospital price transparency policy,n.a.,uncategorized
22,hospital price estimator tool,n.a.,uncategorized
23,california hospital price transparency law,n.a.,uncategorized
24,hospital charges public,n.a.,uncategorized
25,price transparency healthcare marketing,n.a.,uncategorized
26,hospital charges private,n.a.,uncategorized
27,kims hospital price list,n.a.,uncategorized
28,hospital x ray price,n.a.,uncategorized
29,hospital price index,n.a.,uncategorized
30,hospital fee jamaica,n.a.,uncategorized
31,price transparency healthcare executive order,n.a.,uncategorized
32,hospital mortality rates 2018,n.a.,uncategorized
33,hospital price transparency final rule federal register,n.a.,uncategorized
34,hospital costs nhs,n.a.,uncategorized
35,hospital price transparency bill,n.a.,uncategorized
36,hospital price transparency companies,n.a.,uncategorized
37,zulekha hospital price list,n.a.,uncategorized
38,hospital price regulation,n.a.,uncategorized
39,castleview hospital jobs price utah,n.a.,uncategorized
40,hospital equipment cost,n.a.,uncategorized
41,hospital price transparency shoppable services,n.a.,uncategorized
42,hospital beds price,n.a.,uncategorized
43,cms warns a common hospital price transparency approach is noncompliant with new requirements,n.a.,uncategorized
44,pricing transparency healthcare costs,n.a.,uncategorized
45,hospital price comparison,n.a.,uncategorized
46,hospital private fees,n.a.,uncategorized
47,michigan hospital price transparency,n.a.,uncategorized
48,hospital rates covid by state,n.a.,uncategorized
49,hospital costs nsw,n.a.,uncategorized
50,hospital bed price kolkata,n.a.,uncategorized
51,kamol hospital price list,n.a.,uncategorized
52,hospital bed price,n.a.,uncategorized
53,health care price transparency and economic theory,n.a.,uncategorized
54,price transparency in healthcare organizations,n.a.,uncategorized
55,hospital fees for giving birth,n.a.,uncategorized
56,hospital rates for hotels in halifax,n.a.,uncategorized
57,bangkok hospital price list,n.a.,uncategorized
58,what is price transparency healthcare,n.a.,uncategorized
59,hospital cost with,n.a.,uncategorized
60,hospital price list in nepal,n.a.,uncategorized
61,animal hospital price utah,n.a.,uncategorized
62,hospital price transparency appeal,n.a.,uncategorized
63,hospital price transparency final rule fact sheet,n.a.,uncategorized
64,modern healthcare price transparency,n.a.,uncategorized
65,hospital value analysis committee,n.a.,uncategorized
66,hospital price transparency florida,n.a.,uncategorized
67,price transparency to healthcare,n.a.,uncategorized
68,hospital price utah,n.a.,uncategorized
69,hospital cost with insurance,n.a.,uncategorized
70,hospital price transparency vendors,n.a.,uncategorized
71,hospital equipment price list,n.a.,uncategorized
72,blessing hospital price transparency,n.a.,uncategorized
73,hospital price transparency software,n.a.,uncategorized
74,price transparency healthcare 2019,n.a.,uncategorized
75,price transparency fierce healthcare,n.a.,uncategorized
76,hospital bed price in hyderabad,n.a.,uncategorized
77,hospital prices list,n.a.,uncategorized
78,hospital price estimate,n.a.,uncategorized
79,hospital fees without insurance,n.a.,uncategorized
80,hospital price transparency database,n.a.,uncategorized
81,united healthcare price transparency tool,n.a.,uncategorized
82,hospital costs 2010,n.a.,uncategorized
83,hospital bed price uae,n.a.,uncategorized
84,hospital fees japan,n.a.,uncategorized
85,impact of hospital price transparency,n.a.,uncategorized
86,cms hospital price transparency final rule,n.a.,uncategorized
87,hospital cost delivery,n.a.,uncategorized
88,hospital prices without insurance,n.a.,uncategorized
89,hospital price transparency data,n.a.,uncategorized
90,do hospitals charge for giving birth,n.a.,uncategorized
91,clarifying costs can increased price transparency reduce healthcare spending,n.a.,uncategorized
92,quiron hospital price list,n.a.,uncategorized
93,hospital equipment price,n.a.,uncategorized
94,hospital price transparency,n.a.,uncategorized
95,hospital ventilator machine price,n.a.,uncategorized
96,hospital price disclosure,n.a.,uncategorized
97,hospital walker price,n.a.,uncategorized
98,hospital cost of having a baby,n.a.,uncategorized
99,hospital treatment prices usa,n.a.,uncategorized
